info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees,date,date_time
"{'a': '3688859837', 'p': '122287.19000000', 'q': '0.00963000', 'f': '5282864508', 'l': '5282864508', 'T': '1759618800409', 'm': True, 'M': True}",2025-10-04 23:00:00.409,2025-10-04T23:00:00.409Z,BTC/USDT,3688859837,,,sell,,122287.19,0.00963,1177.6256397,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859838', 'p': '122287.20000000', 'q': '0.00743000', 'f': '5282864509', 'l': '5282864509', 'T': '1759618800425', 'm': False, 'M': True}",2025-10-04 23:00:00.425,2025-10-04T23:00:00.425Z,BTC/USDT,3688859838,,,buy,,122287.2,0.00743,908.593896,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859839', 'p': '122287.20000000', 'q': '0.00005000', 'f': '5282864510', 'l': '5282864510', 'T': '1759618800634', 'm': False, 'M': True}",2025-10-04 23:00:00.634,2025-10-04T23:00:00.634Z,BTC/USDT,3688859839,,,buy,,122287.2,5e-05,6.11436,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859840', 'p': '122287.20000000', 'q': '0.00031000', 'f': '5282864511', 'l': '5282864511', 'T': '1759618801366', 'm': False, 'M': True}",2025-10-04 23:00:01.366,2025-10-04T23:00:01.366Z,BTC/USDT,3688859840,,,buy,,122287.2,0.00031,37.909032,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859841', 'p': '122287.19000000', 'q': '1.24417000', 'f': '5282864512', 'l': '5282864528', 'T': '1759618801729', 'm': True, 'M': True}",2025-10-04 23:00:01.729,2025-10-04T23:00:01.729Z,BTC/USDT,3688859841,,,sell,,122287.19,1.24417,152146.0531823,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859842', 'p': '122287.20000000', 'q': '0.00102000', 'f': '5282864529', 'l': '5282864529', 'T': '1759618801850', 'm': False, 'M': True}",2025-10-04 23:00:01.850,2025-10-04T23:00:01.850Z,BTC/USDT,3688859842,,,buy,,122287.2,0.00102,124.732944,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859843', 'p': '122287.20000000', 'q': '0.00390000', 'f': '5282864530', 'l': '5282864530', 'T': '1759618804649', 'm': False, 'M': True}",2025-10-04 23:00:04.649,2025-10-04T23:00:04.649Z,BTC/USDT,3688859843,,,buy,,122287.2,0.0039,476.92008,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859844', 'p': '122287.20000000', 'q': '0.00061000', 'f': '5282864531', 'l': '5282864531', 'T': '1759618805268', 'm': False, 'M': True}",2025-10-04 23:00:05.268,2025-10-04T23:00:05.268Z,BTC/USDT,3688859844,,,buy,,122287.2,0.00061,74.595192,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859845', 'p': '122287.20000000', 'q': '0.00006000', 'f': '5282864532', 'l': '5282864532', 'T': '1759618805828', 'm': False, 'M': True}",2025-10-04 23:00:05.828,2025-10-04T23:00:05.828Z,BTC/USDT,3688859845,,,buy,,122287.2,6e-05,7.337232,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859846', 'p': '122287.19000000', 'q': '0.00073000', 'f': '5282864533', 'l': '5282864533', 'T': '1759618806405', 'm': True, 'M': True}",2025-10-04 23:00:06.405,2025-10-04T23:00:06.405Z,BTC/USDT,3688859846,,,sell,,122287.19,0.00073,89.2696487,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859847', 'p': '122287.20000000', 'q': '0.00069000', 'f': '5282864534', 'l': '5282864534', 'T': '1759618806935', 'm': False, 'M': True}",2025-10-04 23:00:06.935,2025-10-04T23:00:06.935Z,BTC/USDT,3688859847,,,buy,,122287.2,0.00069,84.378168,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859848', 'p': '122287.19000000', 'q': '0.00041000', 'f': '5282864535', 'l': '5282864535', 'T': '1759618807400', 'm': True, 'M': True}",2025-10-04 23:00:07.400,2025-10-04T23:00:07.400Z,BTC/USDT,3688859848,,,sell,,122287.19,0.00041,50.1377479,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859849', 'p': '122287.19000000', 'q': '0.00041000', 'f': '5282864536', 'l': '5282864536', 'T': '1759618807401', 'm': True, 'M': True}",2025-10-04 23:00:07.401,2025-10-04T23:00:07.401Z,BTC/USDT,3688859849,,,sell,,122287.19,0.00041,50.1377479,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859850', 'p': '122287.19000000', 'q': '0.00041000', 'f': '5282864537', 'l': '5282864537', 'T': '1759618807402', 'm': True, 'M': True}",2025-10-04 23:00:07.402,2025-10-04T23:00:07.402Z,BTC/USDT,3688859850,,,sell,,122287.19,0.00041,50.1377479,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859851', 'p': '122287.19000000', 'q': '0.00055000', 'f': '5282864538', 'l': '5282864538', 'T': '1759618807403', 'm': True, 'M': True}",2025-10-04 23:00:07.403,2025-10-04T23:00:07.403Z,BTC/USDT,3688859851,,,sell,,122287.19,0.00055,67.2579545,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859852', 'p': '122287.20000000', 'q': '0.00082000', 'f': '5282864539', 'l': '5282864539', 'T': '1759618807771', 'm': False, 'M': True}",2025-10-04 23:00:07.771,2025-10-04T23:00:07.771Z,BTC/USDT,3688859852,,,buy,,122287.2,0.00082,100.275504,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859853', 'p': '122287.19000000', 'q': '0.00081000', 'f': '5282864540', 'l': '5282864540', 'T': '1759618807780', 'm': True, 'M': True}",2025-10-04 23:00:07.780,2025-10-04T23:00:07.780Z,BTC/USDT,3688859853,,,sell,,122287.19,0.00081,99.0526239,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859854', 'p': '122287.20000000', 'q': '0.00016000', 'f': '5282864541', 'l': '5282864541', 'T': '1759618807803', 'm': False, 'M': True}",2025-10-04 23:00:07.803,2025-10-04T23:00:07.803Z,BTC/USDT,3688859854,,,buy,,122287.2,0.00016,19.565952,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859855', 'p': '122287.20000000', 'q': '0.00041000', 'f': '5282864542', 'l': '5282864542', 'T': '1759618808312', 'm': False, 'M': True}",2025-10-04 23:00:08.312,2025-10-04T23:00:08.312Z,BTC/USDT,3688859855,,,buy,,122287.2,0.00041,50.137752,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859856', 'p': '122287.20000000', 'q': '0.00040000', 'f': '5282864543', 'l': '5282864543', 'T': '1759618808362', 'm': False, 'M': True}",2025-10-04 23:00:08.362,2025-10-04T23:00:08.362Z,BTC/USDT,3688859856,,,buy,,122287.2,0.0004,48.91488,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859857', 'p': '122287.19000000', 'q': '0.00238000', 'f': '5282864544', 'l': '5282864544', 'T': '1759618809124', 'm': True, 'M': True}",2025-10-04 23:00:09.124,2025-10-04T23:00:09.124Z,BTC/USDT,3688859857,,,sell,,122287.19,0.00238,291.0435122,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859858', 'p': '122287.20000000', 'q': '0.00004000', 'f': '5282864545', 'l': '5282864545', 'T': '1759618809336', 'm': False, 'M': True}",2025-10-04 23:00:09.336,2025-10-04T23:00:09.336Z,BTC/USDT,3688859858,,,buy,,122287.2,4e-05,4.891488,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859859', 'p': '122287.19000000', 'q': '0.00082000', 'f': '5282864546', 'l': '5282864546', 'T': '1759618809456', 'm': True, 'M': True}",2025-10-04 23:00:09.456,2025-10-04T23:00:09.456Z,BTC/USDT,3688859859,,,sell,,122287.19,0.00082,100.2754958,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859860', 'p': '122287.20000000', 'q': '0.00299000', 'f': '5282864547', 'l': '5282864547', 'T': '1759618810066', 'm': False, 'M': True}",2025-10-04 23:00:10.066,2025-10-04T23:00:10.066Z,BTC/USDT,3688859860,,,buy,,122287.2,0.00299,365.638728,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859861', 'p': '122287.20000000', 'q': '0.00012000', 'f': '5282864548', 'l': '5282864548', 'T': '1759618810522', 'm': False, 'M': True}",2025-10-04 23:00:10.522,2025-10-04T23:00:10.522Z,BTC/USDT,3688859861,,,buy,,122287.2,0.00012,14.674464,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859862', 'p': '122287.20000000', 'q': '0.00040000', 'f': '5282864549', 'l': '5282864549', 'T': '1759618811746', 'm': False, 'M': True}",2025-10-04 23:00:11.746,2025-10-04T23:00:11.746Z,BTC/USDT,3688859862,,,buy,,122287.2,0.0004,48.91488,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859863', 'p': '122287.19000000', 'q': '0.00040000', 'f': '5282864550', 'l': '5282864550', 'T': '1759618811843', 'm': True, 'M': True}",2025-10-04 23:00:11.843,2025-10-04T23:00:11.843Z,BTC/USDT,3688859863,,,sell,,122287.19,0.0004,48.914876,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859864', 'p': '122287.19000000', 'q': '0.00013000', 'f': '5282864551', 'l': '5282864551', 'T': '1759618811847', 'm': True, 'M': True}",2025-10-04 23:00:11.847,2025-10-04T23:00:11.847Z,BTC/USDT,3688859864,,,sell,,122287.19,0.00013,15.8973347,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859865', 'p': '122287.19000000', 'q': '0.00032000', 'f': '5282864552', 'l': '5282864552', 'T': '1759618811910', 'm': True, 'M': True}",2025-10-04 23:00:11.910,2025-10-04T23:00:11.910Z,BTC/USDT,3688859865,,,sell,,122287.19,0.00032,39.1319008,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859866', 'p': '122287.19000000', 'q': '0.00082000', 'f': '5282864553', 'l': '5282864553', 'T': '1759618811911', 'm': True, 'M': True}",2025-10-04 23:00:11.911,2025-10-04T23:00:11.911Z,BTC/USDT,3688859866,,,sell,,122287.19,0.00082,100.2754958,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859867', 'p': '122287.19000000', 'q': '0.00122000', 'f': '5282864554', 'l': '5282864554', 'T': '1759618811911', 'm': True, 'M': True}",2025-10-04 23:00:11.911,2025-10-04T23:00:11.911Z,BTC/USDT,3688859867,,,sell,,122287.19,0.00122,149.1903718,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859868', 'p': '122287.19000000', 'q': '0.00121000', 'f': '5282864555', 'l': '5282864557', 'T': '1759618812507', 'm': True, 'M': True}",2025-10-04 23:00:12.507,2025-10-04T23:00:12.507Z,BTC/USDT,3688859868,,,sell,,122287.19,0.00121,147.9674999,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859869', 'p': '122287.19000000', 'q': '0.00040000', 'f': '5282864558', 'l': '5282864558', 'T': '1759618812584', 'm': True, 'M': True}",2025-10-04 23:00:12.584,2025-10-04T23:00:12.584Z,BTC/USDT,3688859869,,,sell,,122287.19,0.0004,48.914876,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859870', 'p': '122287.20000000', 'q': '0.00246000', 'f': '5282864559', 'l': '5282864559', 'T': '1759618812588', 'm': False, 'M': True}",2025-10-04 23:00:12.588,2025-10-04T23:00:12.588Z,BTC/USDT,3688859870,,,buy,,122287.2,0.00246,300.826512,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859871', 'p': '122287.20000000', 'q': '0.00038000', 'f': '5282864560', 'l': '5282864560', 'T': '1759618813381', 'm': False, 'M': True}",2025-10-04 23:00:13.381,2025-10-04T23:00:13.381Z,BTC/USDT,3688859871,,,buy,,122287.2,0.00038,46.469136,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859872', 'p': '122287.20000000', 'q': '0.00008000', 'f': '5282864561', 'l': '5282864561', 'T': '1759618813516', 'm': False, 'M': True}",2025-10-04 23:00:13.516,2025-10-04T23:00:13.516Z,BTC/USDT,3688859872,,,buy,,122287.2,8e-05,9.782976,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859873', 'p': '122287.19000000', 'q': '0.00040000', 'f': '5282864562', 'l': '5282864562', 'T': '1759618813915', 'm': True, 'M': True}",2025-10-04 23:00:13.915,2025-10-04T23:00:13.915Z,BTC/USDT,3688859873,,,sell,,122287.19,0.0004,48.914876,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859874', 'p': '122287.19000000', 'q': '0.00009000', 'f': '5282864563', 'l': '5282864563', 'T': '1759618815304', 'm': True, 'M': True}",2025-10-04 23:00:15.304,2025-10-04T23:00:15.304Z,BTC/USDT,3688859874,,,sell,,122287.19,9e-05,11.0058471,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859875', 'p': '122287.20000000', 'q': '0.00256000', 'f': '5282864564', 'l': '5282864564', 'T': '1759618815521', 'm': False, 'M': True}",2025-10-04 23:00:15.521,2025-10-04T23:00:15.521Z,BTC/USDT,3688859875,,,buy,,122287.2,0.00256,313.055232,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859876', 'p': '122287.20000000', 'q': '0.00007000', 'f': '5282864565', 'l': '5282864565', 'T': '1759618815926', 'm': False, 'M': True}",2025-10-04 23:00:15.926,2025-10-04T23:00:15.926Z,BTC/USDT,3688859876,,,buy,,122287.2,7e-05,8.560104,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859877', 'p': '122287.19000000', 'q': '0.00009000', 'f': '5282864566', 'l': '5282864566', 'T': '1759618816302', 'm': True, 'M': True}",2025-10-04 23:00:16.302,2025-10-04T23:00:16.302Z,BTC/USDT,3688859877,,,sell,,122287.19,9e-05,11.0058471,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859878', 'p': '122287.20000000', 'q': '0.00024000', 'f': '5282864567', 'l': '5282864567', 'T': '1759618817047', 'm': False, 'M': True}",2025-10-04 23:00:17.047,2025-10-04T23:00:17.047Z,BTC/USDT,3688859878,,,buy,,122287.2,0.00024,29.348928,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859879', 'p': '122287.19000000', 'q': '0.00019000', 'f': '5282864568', 'l': '5282864568', 'T': '1759618817627', 'm': True, 'M': True}",2025-10-04 23:00:17.627,2025-10-04T23:00:17.627Z,BTC/USDT,3688859879,,,sell,,122287.19,0.00019,23.2345661,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859880', 'p': '122287.19000000', 'q': '0.00030000', 'f': '5282864569', 'l': '5282864569', 'T': '1759618817983', 'm': True, 'M': True}",2025-10-04 23:00:17.983,2025-10-04T23:00:17.983Z,BTC/USDT,3688859880,,,sell,,122287.19,0.0003,36.686157,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859881', 'p': '122287.19000000', 'q': '0.00013000', 'f': '5282864570', 'l': '5282864570', 'T': '1759618819604', 'm': True, 'M': True}",2025-10-04 23:00:19.604,2025-10-04T23:00:19.604Z,BTC/USDT,3688859881,,,sell,,122287.19,0.00013,15.8973347,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859882', 'p': '122287.20000000', 'q': '0.00014000', 'f': '5282864571', 'l': '5282864571', 'T': '1759618819865', 'm': False, 'M': True}",2025-10-04 23:00:19.865,2025-10-04T23:00:19.865Z,BTC/USDT,3688859882,,,buy,,122287.2,0.00014,17.120208,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
"{'a': '3688859883', 'p': '122287.20000000', 'q': '0.00050000', 'f': '5282864572', 'l': '5282864572', 'T': '1759618820668', 'm': False, 'M': True}",2025-10-04 23:00:20.668,2025-10-04T23:00:20.668Z,BTC/USDT,3688859883,,,buy,,122287.2,0.0005,61.1436,"{'cost': None, 'currency': None}",[],2025-10-04,2025-10-04_23
