info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees,date,date_time
"{'a': '3692246109', 'p': '121353.24000000', 'q': '0.00005000', 'f': '5295178385', 'l': '5295178385', 'T': '1759881602294', 'm': False, 'M': True}",2025-10-08 00:00:02.294,2025-10-08T00:00:02.294Z,BTC/USDT,3692246109,,,buy,,121353.24,5e-05,6.067662,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246110', 'p': '121353.25000000', 'q': '0.02140000', 'f': '5295178386', 'l': '5295178386', 'T': '1759881602294', 'm': False, 'M': True}",2025-10-08 00:00:02.294,2025-10-08T00:00:02.294Z,BTC/USDT,3692246110,,,buy,,121353.25,0.0214,2596.95955,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246111', 'p': '121353.25000000', 'q': '0.04430000', 'f': '5295178387', 'l': '5295178387', 'T': '1759881602313', 'm': False, 'M': True}",2025-10-08 00:00:02.313,2025-10-08T00:00:02.313Z,BTC/USDT,3692246111,,,buy,,121353.25,0.0443,5375.948975,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246112', 'p': '121353.25000000', 'q': '0.03375000', 'f': '5295178388', 'l': '5295178400', 'T': '1759881602314', 'm': False, 'M': True}",2025-10-08 00:00:02.314,2025-10-08T00:00:02.314Z,BTC/USDT,3692246112,,,buy,,121353.25,0.03375,4095.6721875,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246113', 'p': '121353.26000000', 'q': '0.00005000', 'f': '5295178401', 'l': '5295178401', 'T': '1759881602314', 'm': False, 'M': True}",2025-10-08 00:00:02.314,2025-10-08T00:00:02.314Z,BTC/USDT,3692246113,,,buy,,121353.26,5e-05,6.067663,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246114', 'p': '121353.26000000', 'q': '0.00055000', 'f': '5295178402', 'l': '5295178412', 'T': '1759881602315', 'm': False, 'M': True}",2025-10-08 00:00:02.315,2025-10-08T00:00:02.315Z,BTC/USDT,3692246114,,,buy,,121353.26,0.00055,66.744293,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246115', 'p': '121354.37000000', 'q': '0.00005000', 'f': '5295178413', 'l': '5295178413', 'T': '1759881602316', 'm': False, 'M': True}",2025-10-08 00:00:02.316,2025-10-08T00:00:02.316Z,BTC/USDT,3692246115,,,buy,,121354.37,5e-05,6.0677185,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246116', 'p': '121354.17000000', 'q': '0.00055000', 'f': '5295178414', 'l': '5295178424', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246116,,,buy,,121354.17,0.00055,66.7447935,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246117', 'p': '121354.18000000', 'q': '0.00055000', 'f': '5295178425', 'l': '5295178435', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246117,,,buy,,121354.18,0.00055,66.744799,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246118', 'p': '121354.37000000', 'q': '0.00050000', 'f': '5295178436', 'l': '5295178445', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246118,,,buy,,121354.37,0.0005,60.677185,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246119', 'p': '121354.38000000', 'q': '0.00035000', 'f': '5295178446', 'l': '5295178452', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246119,,,buy,,121354.38,0.00035,42.474033,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246120', 'p': '121355.16000000', 'q': '0.00150000', 'f': '5295178453', 'l': '5295178453', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246120,,,buy,,121355.16,0.0015,182.03274,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246121', 'p': '121355.52000000', 'q': '0.00005000', 'f': '5295178454', 'l': '5295178454', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246121,,,buy,,121355.52,5e-05,6.067776,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246122', 'p': '121358.81000000', 'q': '0.00145000', 'f': '5295178455', 'l': '5295178455', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246122,,,buy,,121358.81,0.00145,175.9702745,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246123', 'p': '121358.81000000', 'q': '0.00155000', 'f': '5295178456', 'l': '5295178456', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246123,,,buy,,121358.81,0.00155,188.1061555,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246124', 'p': '121359.26000000', 'q': '0.00005000', 'f': '5295178457', 'l': '5295178457', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246124,,,buy,,121359.26,5e-05,6.067963,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246125', 'p': '121359.47000000', 'q': '0.00005000', 'f': '5295178458', 'l': '5295178458', 'T': '1759881602318', 'm': False, 'M': True}",2025-10-08 00:00:02.318,2025-10-08T00:00:02.318Z,BTC/USDT,3692246125,,,buy,,121359.47,5e-05,6.0679735,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246126', 'p': '121359.47000000', 'q': '0.01164000', 'f': '5295178459', 'l': '5295178459', 'T': '1759881602324', 'm': True, 'M': True}",2025-10-08 00:00:02.324,2025-10-08T00:00:02.324Z,BTC/USDT,3692246126,,,sell,,121359.47,0.01164,1412.6242308,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
"{'a': '3692246127', 'p': '121359.48000000', 'q': '0.06510000', 'f': '5295178460', 'l': '5295178460', 'T': '1759881602326', 'm': False, 'M': True}",2025-10-08 00:00:02.326,2025-10-08T00:00:02.326Z,BTC/USDT,3692246127,,,buy,,121359.48,0.0651,7900.502148,"{'cost': None, 'currency': None}",[],2025-10-08,2025-10-08_00
